alpha,beta,conditional_entropy,gamma,alpha_sq_minus_beta_sq_term,alpha_beta_term,min_transition_prob,max_transition_prob,mean_transition_prob,std_transition_prob,nonzero_prob_count,spectral_radius,largest_eigenval,second_eigenval,third_eigenval,largest_real_eigenval,max_imag_eigenval,condition_number,determinant,trace,frobenius_norm,max_diagonal,min_diagonal,upper_triangle_sum,lower_triangle_sum,mean_max_eigenval_per_token,std_max_eigenval_per_token,mean_second_eigenval_per_token
0.9,3.0,1.3076169304323297,0.15963771420352524,-0.20871559633027523,0.13761467889908258,-0.20871559633027523,0.25,0.032364933741080536,0.1479528451245031,12,0.25,0.25,0.020642201834862386,0.02064220183486238,0.25,0.0,12.111111111111114,0.00010652512414779914,0.29128440366972475,0.2516986312898471,0.25,0.02064220183486238,0.0,0.0,0.3876146788990826,0.0,0.20871559633027523
0.9,5.0,1.3560975426426576,0.09841833239736954,-0.2343084075939559,0.08717551336691207,-0.2343084075939559,0.25,0.029521288045116015,0.1442436257402348,12,0.25,0.25,0.007845796203022053,0.007845796203022046,0.25,0.0,31.864197530864356,1.5389129514838796e-05,0.2656915924060441,0.2502461049369574,0.25,0.007845796203022046,0.0,0.0,0.3371755133669121,0.0,0.2343084075939559
0.9,7.0,1.3710267084585939,0.070845412521959,-0.2418691025898414,0.06324031319012247,-0.2418691025898414,0.25,0.028681210823350956,0.14302130009343336,12,0.25,0.25,0.0040654487050793,0.0040654487050793,0.25,0.0,61.49382716049385,4.131968293407739e-06,0.2581308974101586,0.25006610275354646,0.25,0.0040654487050793,0.0,0.0,0.31324031319012247,0.0,0.2418691025898414
0.9,9.0,1.3770617982789164,0.05527984390055495,-0.24504950495049505,0.0495049504950495,-0.24504950495049505,0.25,0.02832783278327833,0.1424891984723914,12,0.25,0.25,0.0024752475247524774,0.0024752475247524774,0.25,0.0,100.99999999999991,1.531712577198315e-06,0.25495049504950495,0.25002450620012745,0.25,0.0024752475247524774,0.0,0.0,0.2995049504950495,0.0,0.24504950495049505
0.9,11.0,1.3803643854902827,0.045303163820678186,-0.2466751498234956,0.04063705771283146,-0.2466751498234956,0.25,0.02814720557516716,0.14221305762221678,12,0.25,0.25,0.0016624250882522063,0.0016624250882522063,0.25,0.0,150.3827160493818,6.909142935125888e-07,0.2533248501765044,0.2500110543842974,0.25,0.0016624250882522063,0.0,0.0,0.29063705771283144,0.0,0.2466751498234956
1.0,3.0,1.2918327644846082,0.15811388300841897,-0.2,0.15000000000000002,-0.2,0.25,0.03333333333333333,0.14907119849998596,12,0.25,0.25,0.024999999999999994,0.024999999999999994,0.25,0.0,10.000000000000002,0.00015624999999999984,0.30000000000000004,0.25248762345905196,0.25,0.024999999999999994,0.0,0.0,0.4,0.0,0.2
1.0,5.0,1.3493420127087705,0.09805806756909202,-0.23076923076923078,0.09615384615384616,-0.23076923076923078,0.25,0.029914529914529912,0.14479550723160187,12,0.25,0.25,0.009615384615384609,0.009615384615384609,0.25,0.0,26.000000000000018,2.311390532544375e-05,0.26923076923076916,0.25036954935176037,0.25,0.009615384615384609,0.0,0.0,0.34615384615384615,0.0,0.23076923076923078
1.0,7.0,1.3671082895371882,0.07071067811865475,-0.24,0.07,-0.24,0.25,0.02888888888888889,0.1433290266364187,12,0.25,0.25,0.0050000000000000044,0.0050000000000000044,0.25,0.0,49.99999999999996,6.250000000000015e-06,0.26,0.250099980007996,0.25,0.0050000000000000044,0.0,0.0,0.32,0.0,0.24
1.0,9.0,1.3748100288209963,0.05521576303742327,-0.24390243902439018,0.05487804878048779,-0.24390243902439018,0.25,0.028455284552845534,0.14268234776247352,12,0.25,0.25,0.0030487804878049085,0.0030487804878049085,0.25,0.0,81.99999999999918,2.3237656157049847e-06,0.25609756097560976,0.2500371774855204,0.25,0.0030487804878049085,0.0,0.0,0.3048780487804878,0.0,0.24390243902439018
1.0,11.0,1.3784021292787945,0.045267873021259265,-0.24590163934426232,0.045081967213114756,-0.24590163934426232,0.25,0.02823315118397085,0.14234480294763593,12,0.25,0.25,0.002049180327868841,0.002049180327868834,0.25,0.0,122.00000000000111,1.0497850040311584e-06,0.25409836065573765,0.2500167959958535,0.25,0.002049180327868834,0.0,0.0,0.29508196721311475,0.0,0.24590163934426232
1.2,3.0,1.259283580678212,0.15474611514754322,-0.18103448275862072,0.17241379310344826,-0.18103448275862072,0.25,0.03544061302681992,0.151262164831963,12,0.25,0.25,0.03448275862068964,0.03448275862068964,0.25,0.0,7.250000000000003,0.0002972651605231863,0.3189655172413792,0.2547118397016234,0.25,0.03448275862068964,0.0,0.0,0.4224137931034483,0.0,0.18103448275862072
1.2,5.0,1.3339670656093234,0.09723873019805175,-0.22276853252647505,0.11346444780635401,-0.22276853252647505,0.25,0.03080349638594722,0.14599637834534318,12,0.25,0.25,0.013615733736762475,0.013615733736762475,0.25,0.0,18.361111111111118,4.634705129760293e-05,0.277231467473525,0.25074045626978675,0.25,0.013615733736762475,0.0,0.0,0.363464447806354,0.0,0.22276853252647505
1.2,7.0,1.3585672124979409,0.07040158962951905,-0.23572561459159402,0.08326724821570183,-0.23572561459159402,0.25,0.029363820600933996,0.14401902998595584,12,0.25,0.25,0.007137192704202988,0.007137192704202988,0.25,0.0,35.0277777777779,1.2734879924232092e-05,0.264274385408406,0.25020367511168545,0.25,0.007137192704202988,0.0,0.0,0.3332672482157018,0.0,0.23572561459159402
1.2,9.0,1.3693591073276652,0.05506821670459081,-0.24126637554585154,0.06550218340611352,-0.24126637554585154,0.25,0.02874818049490539,0.14312093374915075,12,0.25,0.25,0.004366812227074239,0.004366812227074232,0.25,0.0,57.25000000000005,4.7672622566312585e-06,0.2587336244541485,0.2500762645635388,0.25,0.004366812227074232,0.0,0.0,0.3155021834061135,0.0,0.24126637554585154
1.2,11.0,1.375282054679569,0.04518646257309067,-0.24411956876837637,0.05390395295655015,-0.24411956876837637,0.25,0.02843115902573596,0.14264589370279498,12,0.25,0.25,0.0029402156158118142,0.0029402156158118142,0.25,0.0,85.02777777777813,2.161216966865911e-06,0.25588043123162363,0.2500345770803209,0.25,0.0029402156158118142,0.0,0.0,0.30390395295655015,0.0,0.24411956876837637
1.5,3.0,1.209048435888274,0.14907119849998599,-0.15,0.2,-0.2,0.25,0.03888888888888889,0.1541604102834623,12,0.25,0.25,0.05,0.049999999999999996,0.25,0.0,5.0,0.000625,0.35,0.2598076211353316,0.25,0.049999999999999996,0.0,0.0,0.44999999999999996,0.0,0.15
1.5,5.0,1.3082998645334134,0.09578262852211514,-0.20871559633027525,0.13761467889908258,-0.20871559633027525,0.25,0.03236493374108053,0.1479528451245031,12,0.25,0.25,0.020642201834862373,0.020642201834862373,0.25,0.0,12.111111111111118,0.00010652512414779895,0.29128440366972475,0.2516986312898471,0.25,0.020642201834862373,0.0,0.0,0.3876146788990826,0.0,0.20871559633027525
1.5,7.0,1.3444336216212838,0.06984302957695782,-0.22804878048780483,0.10243902439024388,-0.22804878048780483,0.25,0.03021680216802168,0.14521105617482463,12,0.25,0.25,0.010975609756097585,0.010975609756097578,0.25,0.0,22.777777777777743,3.0116002379536104e-05,0.27195121951219514,0.250481392560478,0.25,0.010975609756097578,0.0,0.0,0.3524390243902439,0.0,0.22804878048780483
1.5,9.0,1.3601302056633175,0.0547996624351191,-0.2364864864864865,0.08108108108108109,-0.2364864864864865,0.25,0.029279279279279275,0.14389759319786743,12,0.25,0.25,0.006756756756756743,0.006756756756756743,0.25,0.0,37.00000000000007,1.1413440467494468e-05,0.2635135135135135,0.2501825483996435,0.25,0.006756756756756743,0.0,0.0,0.3310810810810811,0.0,0.2364864864864865
1.5,11.0,1.368710333174862,0.04503773491110449,-0.2408722109533468,0.06693711967545637,-0.2408722109533468,0.25,0.028791976560739247,0.14318588414364614,12,0.25,0.25,0.00456389452332661,0.004563894523326603,0.25,0.0,54.7777777777774,5.20728330501265e-06,0.25912778904665323,0.2500833026542158,0.25,0.004563894523326603,0.0,0.0,0.31693711967545635,0.0,0.2408722109533468
